a,b,c,d,e,f,g,h
20,5,0.134,0.503,2.074,139.000,123.000,0.531
21,5,0.133,0.503,2.077,139.000,123.000,0.531
22,5,0.132,0.503,2.080,139.000,123.000,0.531
23,5,0.131,0.505,7.968,139.000,123.000,0.531
24,5,0.130,0.505,7.971,139.000,123.000,0.531
25,5,0.129,0.505,7.972,139.000,123.000,0.531
26,5,0.129,0.505,7.973,139.000,123.000,0.531
27,5,0.128,0.507,7.974,139.000,123.000,0.531
28,5,0.127,0.509,7.975,139.000,123.000,0.531
29,5,0.126,0.509,7.976,139.000,123.000,0.531
30,5,0.126,0.509,7.976,140.000,122.000,0.534
31,5,0.125,0.661,7.977,159.000,103.000,0.607
32,5,0.125,0.663,7.978,159.000,103.000,0.607
33,5,0.124,0.659,7.979,159.000,103.000,0.607
34,5,0.124,0.665,7.980,159.000,103.000,0.607
35,5,0.123,0.663,7.981,159.000,103.000,0.607
36,5,0.123,0.665,7.982,159.000,103.000,0.607
37,5,0.122,0.661,7.983,159.000,103.000,0.607
38,5,0.122,0.665,7.984,159.000,103.000,0.607
39,5,0.122,0.663,7.985,159.000,103.000,0.607
40,5,0.121,0.665,7.986,159.000,103.000,0.607
41,5,0.121,0.663,7.987,159.000,103.000,0.607
42,5,0.121,0.665,7.987,159.000,103.000,0.607
43,5,0.120,0.665,7.988,159.000,103.000,0.607
44,5,0.120,0.665,7.989,159.000,103.000,0.607
45,5,0.120,0.663,7.990,159.000,103.000,0.607
46,5,0.120,0.665,7.990,159.000,103.000,0.607
47,5,0.120,0.663,7.991,159.000,103.000,0.607
48,5,0.119,0.665,7.992,159.000,103.000,0.607
49,5,0.119,0.665,7.993,159.000,103.000,0.607
50,5,0.119,0.665,8.358,159.000,103.000,0.607
51,5,0.119,0.663,8.359,159.000,103.000,0.607
52,5,0.119,0.665,8.360,159.000,103.000,0.607
53,5,0.119,0.663,8.361,159.000,103.000,0.607
54,5,0.118,0.665,8.362,159.000,103.000,0.607
55,5,0.118,0.663,8.362,159.000,103.000,0.607
56,5,0.118,0.665,8.363,159.000,103.000,0.607
57,5,0.118,0.665,8.364,159.000,103.000,0.607
58,5,0.118,0.665,8.365,159.000,103.000,0.607
59,5,0.118,0.665,8.365,159.000,103.000,0.607
60,5,0.118,0.665,8.366,159.000,103.000,0.607
61,5,0.118,0.665,8.367,159.000,103.000,0.607
62,5,0.117,0.665,8.367,159.000,103.000,0.607
63,5,0.117,0.665,8.368,159.000,103.000,0.607
64,5,0.117,0.665,8.369,159.000,103.000,0.607
65,5,0.117,0.665,8.369,159.000,103.000,0.607
66,5,0.117,0.665,8.370,159.000,103.000,0.607
67,5,0.117,0.665,8.371,159.000,103.000,0.607
68,5,0.117,0.665,8.371,159.000,103.000,0.607
69,5,0.117,0.665,8.372,159.000,103.000,0.607
70,5,0.117,0.665,8.373,159.000,103.000,0.607
71,5,0.117,0.665,8.373,159.000,103.000,0.607
72,5,0.117,0.665,8.374,159.000,103.000,0.607
73,5,0.117,0.665,8.375,159.000,103.000,0.607
74,5,0.116,0.665,8.375,159.000,103.000,0.607
75,5,0.116,0.665,8.376,159.000,103.000,0.607
76,5,0.116,0.665,8.377,159.000,103.000,0.607
77,5,0.116,0.665,8.378,159.000,103.000,0.607
78,5,0.116,0.665,8.378,159.000,103.000,0.607
79,5,0.116,0.665,8.379,159.000,103.000,0.607
80,5,0.116,0.665,8.380,159.000,103.000,0.607
81,5,0.116,0.665,10.463,159.000,103.000,0.607
82,5,0.116,0.665,10.464,159.000,103.000,0.607
83,5,0.116,0.665,10.465,159.000,103.000,0.607
84,5,0.116,0.665,10.465,159.000,103.000,0.607
85,5,0.116,0.665,10.466,159.000,103.000,0.607
86,5,0.116,0.665,10.467,159.000,103.000,0.607
87,5,0.116,0.665,12.342,159.000,103.000,0.607
88,5,0.116,0.665,12.342,159.000,103.000,0.607
89,5,0.116,0.665,12.343,159.000,103.000,0.607
90,5,0.116,0.665,12.344,159.000,103.000,0.607
91,5,0.116,0.665,12.344,159.000,103.000,0.607
92,5,0.116,0.665,12.345,159.000,103.000,0.607
93,5,0.116,0.665,12.346,159.000,103.000,0.607
94,5,0.115,0.665,12.347,159.000,103.000,0.607
95,5,0.115,0.665,12.348,159.000,103.000,0.607
96,5,0.115,0.665,12.348,159.000,103.000,0.607
97,5,0.115,0.665,12.349,159.000,103.000,0.607
98,5,0.115,0.665,12.350,159.000,103.000,0.607
99,5,0.115,0.665,12.350,159.000,103.000,0.607
100,5,0.115,0.665,12.351,159.000,103.000,0.607
1,8,0.125,0.667,0.003,162.000,100.000,0.618
2,8,0.123,0.667,0.006,162.000,100.000,0.618
