iterations,fitness,time,samples,tokeep
750,3751.4690101747,19.604339253,200,100
760,3751.4690101747,19.733394493,200,100
770,3751.4690101747,19.745688779,200,100
780,3751.4690101747,19.920276378,200,100
790,3751.4690101747,20.102264622,200,100
800,3751.4690101747,20.202551275,200,100
810,3751.4690101747,20.319861415,200,100
820,3751.4690101747,20.439507027,200,100
830,3751.4690101747,20.632764863,200,100
840,3751.4690101747,20.70357021,200,100
850,3751.4690101747,20.753723013,200,100
860,3751.4690101747,20.971527873,200,100
870,3757.8124037795033,21.083989371,200,100
880,3751.4690101747,21.173611043,200,100
890,3760.478396395419,21.273956876,200,100
900,3751.4690101747,21.384032672,200,100
910,3751.4690101747,21.466642912,200,100
920,3751.4690101747,21.474842337,200,100
930,3772.269244690704,21.536266083,200,100
940,3751.4690101747,21.616892234,200,100
950,3776.520062748236,21.766902583,200,100
960,3751.4690101747,21.799502008,200,100
970,3751.4690101747,21.842843333,200,100
980,3751.4690101747,21.852530502,200,100
990,3751.4690101747,21.920226677,200,100
1000,3751.4690101747,21.966675155,200,100
10,2992.020043163145,0.706032321,200,100
20,3142.0423972579533,1.110152784,200,100
30,3292.0386481936434,2.06250758,200,100
40,3400.9711127836877,2.286837813,200,100
50,3462.7745163971977,2.411025916,200,100
60,3531.277150935314,2.885446722,200,100
70,3469.6451830650035,3.358347397,200,100
80,3479.3822880986345,3.661260721,200,100
90,3541.3092896423923,4.097632858,200,100
100,3613.670353488361,4.348497242,200,100
110,3686.159750478951,4.968552624,200,100
120,3640.2713292733547,5.401072265,200,100
130,3650.9843555694183,5.647750706,200,100
140,3720.870067790968,5.974863114,200,100
150,3741.9040428231874,5.986857036,200,100
160,3791.5252995132582,6.399071045,200,100
170,3778.1736042318207,6.713524647,200,100
180,3774.2044866795163,7.312272761,200,100
190,3779.1588384887,7.599276818,200,100
200,3812.356620361462,8.084403493,200,100
210,3795.997241837252,8.412373173,200,100
220,3811.165473702618,8.631120958,200,100
230,3797.7567148405174,8.979769945,200,100
240,3812.356620361462,9.254595968,200,100
250,3812.356620361462,9.527184312,200,100
260,3797.7567148405174,9.714965361,200,100
270,3824.231526373733,10.059218237,200,100
280,3807.109984240163,10.245633031,200,100
290,3807.109984240163,10.568399103,200,100
300,3807.109984240163,10.799196733,200,100
310,3807.109984240163,11.095466864,200,100
320,3807.109984240163,11.103004896,200,100
330,3807.109984240163,11.317013877,200,100
340,3797.7567148405174,11.839043857,200,100
350,3793.1144048376373,12.090038188,200,100
360,3793.1144048376373,12.362261651,200,100
370,3793.1144048376373,12.59652692,200,100
380,3793.1144048376373,12.806722104,200,100
390,3793.1144048376373,13.006809826,200,100
